"uniqueID","StudyID_IDALL","Authors","Year","Title","Citation","Unit_analysis","Study_design","Case_countries","Continent","Worldbank_national_income_group","Synthetic_fertiliser_category","Water_source","Yield","Recoded_aspect_of_yield","Freshwater","Fuelwood","Fiber","Biochemicals","Genetic_resources","Climate_regulation","Disease_regulation","Pest_regulation","Water_regulation","Water_purification","Pollination","Soil_formation","Nutrient_cycling","Primary_production","Biodiversity_composition_spp_occurrence_abundance","Biodiversity_structure_habitat","Biodiversity_functions_processes_soil_organic_carbon","Recoded_spect_of_function","Profit","Financial_security","Physical_capital","Savings_labour_cost","Natural_capital","Health","Education","Social_cultural_relations","Food_security","Employment","Justice","Property_rights","Combined_ecological_social_outcome"
32,56,"Banjara T.R., Bohra J.S., Kumar S., Singh T., Shori A., Prajapat K.",2021,"Sustainable alternative crop rotations to the irrigated rice-wheat cropping system of Indo-Gangetic plains of India","Banjara, T. R., Bohra, J. S., Kumar, S., Singh, T., Shori, A., & Prajapat, K. (2021). Sustainable alternative crop rotations to the irrigated rice-wheat cropping system of Indo-Gangetic plains of India. Archives of Agronomy and Soil Science. doi:10.1080/03650340.2021.1912324","Plot","Experiment (research station)","India","Asia","LMIC","Synthetic - below threshold","irrigation",1.8949825,"Equivalent yield",NA,NA,NA,NA,NA,NA,NA,NA,1.0123273,NA,NA,1,1.0825838,NA,NA,NA,1.0790123,"Carbon",1.802556818,NA,NA,NA,NA,NA,NA,NA,NA,1.4726776,NA,NA,"Mix-Win"
113,251,"Islami T., Guritno B., Utomo W.H.",2011,"Performance of cassava (Manihot esculenta Crantz) based cropping systems and associated soil quality changes in the degraded tropical uplands of East Java, Indonesia","Islami, T., Guritno, B., & Utomo, W. H. (2011). Performance of cassava (Manihot esculenta Crantz) based cropping systems and associated soil quality changes in the degraded tropical uplands of East Java, Indonesia. Journal of Tropical Agriculture, 49, 31-39.","Plot","Experiment (on farm)","Indonesia","Asia","LMIC","Synthetic - below threshold","irrigation",0.914141414141414,"Cumulative grain yield",NA,NA,NA,NA,NA,NA,NA,NA,1.0581255,NA,NA,1.051495,1.6041667,NA,NA,NA,1.1767435,"Carbon",3.0375,NA,NA,NA,1.6,NA,NA,NA,NA,1,NA,NA,"Mix-Mix"
114,251,"Islami T., Guritno B., Utomo W.H.",2011,"Performance of cassava (Manihot esculenta Crantz) based cropping systems and associated soil quality changes in the degraded tropical uplands of East Java, Indonesia","Islami, T., Guritno, B., & Utomo, W. H. (2011). Performance of cassava (Manihot esculenta Crantz) based cropping systems and associated soil quality changes in the degraded tropical uplands of East Java, Indonesia. Journal of Tropical Agriculture, 49, 31-39.","Plot","Experiment (on farm)","Indonesia","Asia","LMIC","Synthetic - below threshold","irrigation",0.843434343434343,"Cumulative grain yield",NA,NA,NA,NA,NA,NA,NA,NA,0.9614512,NA,NA,1.0830565,1.0625,NA,NA,NA,0.967051,"Carbon",1.275,NA,NA,NA,1.45,NA,NA,NA,NA,1,NA,NA,"Mix-Mix"
115,251,"Islami T., Guritno B., Utomo W.H.",2011,"Performance of cassava (Manihot esculenta Crantz) based cropping systems and associated soil quality changes in the degraded tropical uplands of East Java, Indonesia","Islami, T., Guritno, B., & Utomo, W. H. (2011). Performance of cassava (Manihot esculenta Crantz) based cropping systems and associated soil quality changes in the degraded tropical uplands of East Java, Indonesia. Journal of Tropical Agriculture, 49, 31-39.","Plot","Experiment (on farm)","Indonesia","Asia","LMIC","Synthetic - below threshold","irrigation",0.848484848484849,"Cumulative grain yield",NA,NA,NA,NA,NA,NA,NA,NA,0.9665911,NA,NA,1.0472868,1.2083333,NA,NA,NA,1.0480877,"Carbon",0.675,NA,NA,NA,1.59,NA,NA,NA,NA,1,NA,NA,"Mix-Mix"
116,251,"Islami T., Guritno B., Utomo W.H.",2011,"Performance of cassava (Manihot esculenta Crantz) based cropping systems and associated soil quality changes in the degraded tropical uplands of East Java, Indonesia","Islami, T., Guritno, B., & Utomo, W. H. (2011). Performance of cassava (Manihot esculenta Crantz) based cropping systems and associated soil quality changes in the degraded tropical uplands of East Java, Indonesia. Journal of Tropical Agriculture, 49, 31-39.","Plot","Experiment (on farm)","Indonesia","Asia","LMIC","Synthetic - below threshold","irrigation",0.843434343434343,"Cumulative grain yield",NA,NA,NA,NA,NA,NA,NA,NA,1.1030234,NA,NA,1,1.5208333,NA,NA,NA,1.1230784,"Carbon",0.4125,NA,NA,NA,1.5,NA,NA,NA,NA,1,NA,NA,"Mix-Mix"
117,251,"Islami T., Guritno B., Utomo W.H.",2011,"Performance of cassava (Manihot esculenta Crantz) based cropping systems and associated soil quality changes in the degraded tropical uplands of East Java, Indonesia","Islami, T., Guritno, B., & Utomo, W. H. (2011). Performance of cassava (Manihot esculenta Crantz) based cropping systems and associated soil quality changes in the degraded tropical uplands of East Java, Indonesia. Journal of Tropical Agriculture, 49, 31-39.","Plot","Experiment (on farm)","Indonesia","Asia","LMIC","Synthetic - below threshold","irrigation",1.13333333333333,"Cumulative grain yield",NA,NA,NA,NA,NA,NA,NA,NA,1.0581255,NA,NA,NA,NA,NA,NA,NA,1.1767435,"Carbon",NA,NA,NA,NA,1.38,NA,NA,NA,NA,1,NA,NA,"Win-Mix"
118,251,"Islami T., Guritno B., Utomo W.H.",2011,"Performance of cassava (Manihot esculenta Crantz) based cropping systems and associated soil quality changes in the degraded tropical uplands of East Java, Indonesia","Islami, T., Guritno, B., & Utomo, W. H. (2011). Performance of cassava (Manihot esculenta Crantz) based cropping systems and associated soil quality changes in the degraded tropical uplands of East Java, Indonesia. Journal of Tropical Agriculture, 49, 31-39.","Plot","Experiment (on farm)","Indonesia","Asia","LMIC","Synthetic - below threshold","irrigation",1.09166666666667,"Cumulative grain yield",NA,NA,NA,NA,NA,NA,NA,NA,0.9614512,NA,NA,NA,NA,NA,NA,NA,0.967051,"Carbon",NA,NA,NA,NA,1.44,NA,NA,NA,NA,1,NA,NA,"Mix-Mix"
119,251,"Islami T., Guritno B., Utomo W.H.",2011,"Performance of cassava (Manihot esculenta Crantz) based cropping systems and associated soil quality changes in the degraded tropical uplands of East Java, Indonesia","Islami, T., Guritno, B., & Utomo, W. H. (2011). Performance of cassava (Manihot esculenta Crantz) based cropping systems and associated soil quality changes in the degraded tropical uplands of East Java, Indonesia. Journal of Tropical Agriculture, 49, 31-39.","Plot","Experiment (on farm)","Indonesia","Asia","LMIC","Synthetic - below threshold","irrigation",0.958333333333333,"Cumulative grain yield",NA,NA,NA,NA,NA,NA,NA,NA,0.9665911,NA,NA,NA,NA,NA,NA,NA,1.0480877,"Carbon",NA,NA,NA,NA,1.39,NA,NA,NA,NA,1,NA,NA,"Mix-Mix"
120,251,"Islami T., Guritno B., Utomo W.H.",2011,"Performance of cassava (Manihot esculenta Crantz) based cropping systems and associated soil quality changes in the degraded tropical uplands of East Java, Indonesia","Islami, T., Guritno, B., & Utomo, W. H. (2011). Performance of cassava (Manihot esculenta Crantz) based cropping systems and associated soil quality changes in the degraded tropical uplands of East Java, Indonesia. Journal of Tropical Agriculture, 49, 31-39.","Plot","Experiment (on farm)","Indonesia","Asia","LMIC","Synthetic - below threshold","irrigation",1.01666666666667,"Cumulative grain yield",NA,NA,NA,NA,NA,NA,NA,NA,1.1030234,NA,NA,NA,NA,NA,NA,NA,1.1230784,"Carbon",NA,NA,NA,NA,1.4,NA,NA,NA,NA,1,NA,NA,"Win-Mix"
121,251,"Islami T., Guritno B., Utomo W.H.",2011,"Performance of cassava (Manihot esculenta Crantz) based cropping systems and associated soil quality changes in the degraded tropical uplands of East Java, Indonesia","Islami, T., Guritno, B., & Utomo, W. H. (2011). Performance of cassava (Manihot esculenta Crantz) based cropping systems and associated soil quality changes in the degraded tropical uplands of East Java, Indonesia. Journal of Tropical Agriculture, 49, 31-39.","Plot","Experiment (on farm)","Indonesia","Asia","LMIC","Synthetic - below threshold","irrigation",1.22,"Cumulative grain yield",NA,NA,NA,NA,NA,NA,NA,NA,1.0581255,NA,NA,NA,NA,NA,NA,NA,1.1767435,"Carbon",NA,NA,NA,NA,1.6,NA,NA,NA,NA,1,NA,NA,"Win-Mix"
122,251,"Islami T., Guritno B., Utomo W.H.",2011,"Performance of cassava (Manihot esculenta Crantz) based cropping systems and associated soil quality changes in the degraded tropical uplands of East Java, Indonesia","Islami, T., Guritno, B., & Utomo, W. H. (2011). Performance of cassava (Manihot esculenta Crantz) based cropping systems and associated soil quality changes in the degraded tropical uplands of East Java, Indonesia. Journal of Tropical Agriculture, 49, 31-39.","Plot","Experiment (on farm)","Indonesia","Asia","LMIC","Synthetic - below threshold","irrigation",1.05333333333333,"Cumulative grain yield",NA,NA,NA,NA,NA,NA,NA,NA,0.9614512,NA,NA,NA,NA,NA,NA,NA,0.967051,"Carbon",NA,NA,NA,NA,1.44,NA,NA,NA,NA,1,NA,NA,"Mix-Mix"
123,251,"Islami T., Guritno B., Utomo W.H.",2011,"Performance of cassava (Manihot esculenta Crantz) based cropping systems and associated soil quality changes in the degraded tropical uplands of East Java, Indonesia","Islami, T., Guritno, B., & Utomo, W. H. (2011). Performance of cassava (Manihot esculenta Crantz) based cropping systems and associated soil quality changes in the degraded tropical uplands of East Java, Indonesia. Journal of Tropical Agriculture, 49, 31-39.","Plot","Experiment (on farm)","Indonesia","Asia","LMIC","Synthetic - below threshold","irrigation",1,"Cumulative grain yield",NA,NA,NA,NA,NA,NA,NA,NA,0.9665911,NA,NA,NA,NA,NA,NA,NA,1.0480877,"Carbon",NA,NA,NA,NA,1.5,NA,NA,NA,NA,1,NA,NA,"Mix-Mix"
124,251,"Islami T., Guritno B., Utomo W.H.",2011,"Performance of cassava (Manihot esculenta Crantz) based cropping systems and associated soil quality changes in the degraded tropical uplands of East Java, Indonesia","Islami, T., Guritno, B., & Utomo, W. H. (2011). Performance of cassava (Manihot esculenta Crantz) based cropping systems and associated soil quality changes in the degraded tropical uplands of East Java, Indonesia. Journal of Tropical Agriculture, 49, 31-39.","Plot","Experiment (on farm)","Indonesia","Asia","LMIC","Synthetic - below threshold","irrigation",1.06666666666667,"Cumulative grain yield",NA,NA,NA,NA,NA,NA,NA,NA,1.1030234,NA,NA,NA,NA,NA,NA,NA,1.1230784,"Carbon",NA,NA,NA,NA,1.56,NA,NA,NA,NA,1,NA,NA,"Win-Mix"
