"uniqueID","StudyID_IDALL","Authors","Year","Title","Citation","Unit of analysis","Data type","data.collection","Setting Type","Time period","Time scale (years)","Total treatments (including controls)","Number of intercrop or rotation treatments including grain legumes (not sole legumes)","Number of nonintercrop or non rotation treatments not including grain legumes (including sole-cropping controls)","Total number of replicates per treatment","Number of study regions/sites","time.simpl","replicates.simp","Are the authors studying/identifying legume introduction intensification as the main source of ES change?","Are the authors studying/identifying legume introduction as the main source of wellbeing change?","What other drivers are identified as key to ES or well-being change?","Case_countries","Regional_groupings","Regional_groupings_ID","Subnational 
 case area (specify province/region)","Continent","WorldBank National Income Group","Latitude_Decimal_Degrees_N","Longitude (Decimal Degrees) E","Is intensification defined?","Authors' intensification definition","Study design","Intensification actors","Actors.categories","Type of land use intensification described","Simplified cropping system","Intensification type: Crop Change/Addition","Intensification type: Increased Rows/Strip width","Intensification type: Increased rotations","Spatial arrangement of intercropping","Other agro-ecological innovations","Recoded other agro-ecological innovations - Primary","Recoded other agro-ecological innovations - Secondary","Food system classification","Non-legume main crop","Legume_category","Grain legume product: Chickpea","Grain legume product: Cowpea","Grain legume product: Groundnut","Grain legume product: Lentil","Grain legume product: Mung bean","Grain legume product: Pigeonpea","Grain legume product: Faba Bean","Grain legume product: Common Bean","Grain legume product: Soybean","Grain legume product: Pea","Grain legume product: Grain legumes (unspecified/other)","Other products not target of intensification","Mineral Fertiliser
 N–P2O5–K2O kgha−1","Synthetic fertiliser category","Water source","Yield","Freshwater","Fuelwood","Fiber","Biochemicals","Genetic_resources","Climate_regulation","Disease_regulation","Pest_regulation","Water_regulation","Water_purification","Soil_formation","Nutrient_cycling","Primary_production","Biodiversity_composition","Biodiversity_structure","Profit","Financial_security","Physical_capital","Savings_labour_cost","Natural_capital","Health","Education","Social_cultural_relations","Food_security","Employment","Justice","Property_rights","Combined ecological-social outcome","Is the intensification (according to authors) causing changes in demand/ preferences for certain ES?","If intensification is leading to changed demands, specify whose demand and which ES","IF Yes to changed demands: Are the changes disaggregated by different groups?","If disaggregated by different groups, specify categorization (e.g. rich/poor, men/women, land-owners/labourers, other)","If disaggregated by groups, specify for which ES/ wellbeing aspects the results are disaggregated","If disaggregated by groups, specify the reported difference","Trade-offs mentioned between 1) different ES, 2) different wellbeing aspects, or 3) ES and wellbeing","General factors enabling adoption","General factors constraining adoption","Factors identified as enabling ecosystem services","Factors identified as constraining ecosystem services","Factors identified as enabling well being","Factors identified as constraining well being","Notes","Documentation of methods of data extraction","Secondary reference","Study spatial design (do they have enough replicates?)","Study temporal design (do they collect data over multiple points in time?)","Confounding variables (Were baseline characteristics of the intervention comparable with the control or were potential confounders at baseline approximately adjusted for in analysis?)","Reporting","Risk of bias","Tools for assessment (Were valid and reliable tools used to assess  outcomes?)","Sum.Quality"
168,366,"Manjunath B.L., Paramesh V., Mahajan G.R., Reddy K.V., Das B., Singh N.P.",2018,"A five years study on the selection of rice based cropping systems in Goa, for west coast region of India","Manjunath, B. L., Paramesh, V., Mahajan, G. R., Reddy, K. V., Das, B., & Singh, N. P. (2018). A five years study on the selection of rice based cropping systems in Goa, for west coast region of India. Journal of Environmental Biology, 39(3), 393-399. doi:10.22438/jeb/39/3/MRN-593","Plot","Quantitative","Experiment (research station)","E/M","2010-2015","5","5","2","3","1","1","5-10","1-2","Yes","Yes",NA,"India","South Asia",2,"ICAR- Central Coastal Agricultural Research Institute, Goa","Asia","LMIC","15.498594000000001","73.916948000000005","No",NA,"Experiment (research station)","Researcher-led","Researcher-led","Rotation","Rotation",1,0,0,"Rotation","Existing farmers' practices","Existing farmers' practices",NA,"Grain / Cowpea","Rice","Cowpea",0,1,0,0,0,0,0,0,0,0,"0","Brinjal. Sweetcorn","0-0-0 (organic - manure)","No synthetic","irrigation","1.78821363","NA","NA","NA","NA","NA",0.970238095,"NA","NA","NA","NA","NA","1.0352397","1.2772926","NA","NA",1.598185242,"NA","NA","NA","NA","NA","NA","NA","NA","2.8076922999999998","NA","NA","Mix-Mix","NA","NA","NA","NA","NA","NA","Yes: higher material/physical capital needed to produce legumes which have higher yields and income gains","Crop choice: short duration, tolerant to terminal water stress, better yielding, disease and pest resistant having a quick ground cover with high local market demand. Crop should have good acceptance by local farmers for capacity to adjust to existing cropping system.","NA","Crop choice: short duration, tolerant to terminal water stress, better yielding, disease and pest resistant having a quick ground cover with high local market demand; Access to irrigation during dry season","Access to inputs","Local market demand + higher market prices for legumes compared with rice","Access to inputs","""improved utilization of labour, reduced unemployment and provided a source of livelihood (Thamrongwarangkul, 2001; Van ., 2003)""","NA",NA,1,2,2,2,2,2,11
169,366,"Manjunath B.L., Paramesh V., Mahajan G.R., Reddy K.V., Das B., Singh N.P.",2018,"A five years study on the selection of rice based cropping systems in Goa, for west coast region of India","Manjunath, B. L., Paramesh, V., Mahajan, G. R., Reddy, K. V., Das, B., & Singh, N. P. (2018). A five years study on the selection of rice based cropping systems in Goa, for west coast region of India. Journal of Environmental Biology, 39(3), 393-399. doi:10.22438/jeb/39/3/MRN-593","Plot","Quantitative","Experiment (research station)","E/M","2010-2015","5","5","2","3","1","1","5-10","1-2","Yes","Yes",NA,"India","South Asia",2,"ICAR- Central Coastal Agricultural Research Institute, Goa","Asia","LMIC","15.498594000000001","73.916948000000005","No",NA,"Experiment (research station)","Researcher-led","Researcher-led","Rotation","Rotation",1,0,0,"Rotation","Existing farmers' practices","Existing farmers' practices",NA,"Grain / Groundnut","Rice","Groundnut",0,0,1,0,0,0,0,0,0,0,"0","Brinjal. Sweetcorn","0-0-0 (organic - manure)","No synthetic","irrigation","1.6519337000000001","NA","NA","NA","NA","NA",0.96031746,"NA","NA","NA","NA","NA","0.93818599999999996","1.9104802999999999","NA","NA",1.213319637,"NA","NA","NA","NA","NA","NA","NA","NA","2.2115385000000001","NA","NA","Mix-Mix","NA","NA","NA","NA","NA","NA","Yes: higher material/physical capital needed to produce legumes which have higher yields and income gains","Crop choice: short duration, tolerant to terminal water stress, better yielding, disease and pest resistant having a quick ground cover with high local market demand. Crop should have good acceptance by local farmers for capacity to adjust to existing cropping system.","NA","Crop choice: short duration, tolerant to terminal water stress, better yielding, disease and pest resistant having a quick ground cover with high local market demand; Access to irrigation during dry season","Access to inputs","Local market demand + higher market prices for legumes compared with rice","Access to inputs","""improved utilization of labour, reduced unemployment and provided a source of livelihood (Thamrongwarangkul, 2001; Van ., 2003)""","NA",NA,1,2,2,2,2,2,11
33,779,"Bastia, D. K., Behera, S. K., & Panda, M. R. (2021, Dec).",2021,"Impacts of soil fertility management on productivity and economics of rice and fodder intercropping systems under rainfed conditions in Odisha, India","Bastia, D. K., Behera, S. K., & Panda, M. R. (2021). Impacts of soil fertility management on productivity and economics of rice and fodder intercropping systems under rainfed conditions in Odisha, India. Journal of Integrative Agriculture, 20(12), 3114-3126. doi:10.1016/s2095-3119(20)63591-2","Plot","Quantitative","Experiment (research station)","E/M","2015-2017","3","9","6","3","3","1","2-4","3-4","Not exclusively (also asessing influence of different fertilizing treatments: N1, application of farm yard manure (FYM) at 5 t ha–1; N2, application of inorganic fertilizer (RDF of rice, 60:30:30 kg ha–1 of N:P2O5:K2O); N3, application of both FYM at 5 t ha–1 and 50% inorganic fertilizer (RDF))","Not exclusively (also asessing influence of different fertilizing treatments: N1, application of farm yard manure (FYM) at 5 t ha–1; N2, application of inorganic fertilizer (RDF of rice, 60:30:30 kg ha–1 of N:P2O5:K2O); N3, application of both FYM at 5 t ha–1 and 50% inorganic fertilizer (RDF))","Intercropping cereals with fodder legume crops like cowpea
and ricebean is a practice in the semi-arid tropics of India to
reduce the fragility and uncertainty of agricultural production
systems under rainfed upland situations. These systems
produce a considerable amount of biomass that can be
incorporated into the soil, transferring nutrients from the
crops to soil and enriching the organic carbon content. --Maize and other forage legumes such as sesbania,
cowpea, pigeonpea, ricebean, and mungbean are important
short-duration crops which provide more economic return
to growers than long-duration crops","India","South Asia",2,"Research Farm of All India Coordinated Research Project for Dryland
Agriculture (AICRPDA), Phulbani  in North Eastern Ghat Zone of Odisha","Asia","LMIC","20.466667000000001","84.233333000000002","No","NA","Experiment (research station)","Researcher-led","Researcher-led","Intercropping rice-legume","Intercrop",1,0,0,"Row","also asessing influence of different fertilizing treatments: N1, application of farm yard manure (FYM) at 5 t ha–1; N2, application of inorganic fertilizer (RDF of rice, 60:30:30 kg ha–1 of N:P2O5:K2O); N3, application of both FYM at 5 t ha–1 and 50% inorganic fertilizer (RDF))","Fertilizer rates/type",NA,"Grain / Cowpea","Rice","Cowpea",0,1,0,0,0,0,0,0,0,0,"0","0","N1, application of farm yard manure (FYM) at 5 t ha–1; N2, application of inorganic fertilizer (RDF of rice, 60:30:30 kg ha–1 of N:P2O5:K2O); N3, application of both FYM at 5 t ha–1 and 50% inorganic fertilizer (RDF).","Synthetic - below threshold","rainfed","1.0733715103793844","NA","NA","NA","NA","NA",1.08805031446541,"NA","NA","0.93569131832797436","NA","NA","1.0509683187764658","NA","NA","NA",0.85055145859166,"0.94838709677419353","NA","NA","1.1399999999999999","NA","NA","NA","NA","NA","NA","NA","Mix-Mix","NA","NA","NA","NA","NA","NA","NA","The leguminous fodders as intercrops with cereal crops have
special significances because of high herbage protein for
animal feeding and partial independence from concentrate
for their nitrogen needs.","NA","The
leaf area of the rice crop in intercropping systems were found
to be significantly higher than that in monocropping system
because rice plants were getting more nitrogen from soil
due to nitrogen fixation of leguminous fodder crops. --- Rice yield
was higher in monocropping system than in rice and fodder
intercropping system when price was taken as a factor, but
when energy was taken as a factor rice yield of intercropping
system was higher than that of monocropping system.","Rice yield
was higher in monocropping system than in rice and fodder
intercropping system when price was taken as a factor, but
when energy was taken as a factor rice yield of intercropping
system was higher than that of monocropping system.","Rice yield
was higher in monocropping system than in rice and fodder
intercropping system when price was taken as a factor, but
when energy was taken as a factor rice yield of intercropping
system was higher than that of monocropping system.","Rice yield
was higher in monocropping system than in rice and fodder
intercropping system when price was taken as a factor, but
when energy was taken as a factor rice yield of intercropping
system was higher than that of monocropping system.",NA,"Table 8_Rainwater use efficiency (RWUE), land equivalent ratio (LER), energy use efficiency (EUE), and economics as influenced by different cropping systems and different nutrient management practices1)",NA,2,2,2,2,2,2,12
34,779,"Bastia, D. K., Behera, S. K., & Panda, M. R. (2021, Dec).",2021,"Impacts of soil fertility management on productivity and economics of rice and fodder intercropping systems under rainfed conditions in Odisha, India","Bastia, D. K., Behera, S. K., & Panda, M. R. (2021). Impacts of soil fertility management on productivity and economics of rice and fodder intercropping systems under rainfed conditions in Odisha, India. Journal of Integrative Agriculture, 20(12), 3114-3126. doi:10.1016/s2095-3119(20)63591-2","Plot","Quantitative","Experiment (research station)","E/M","2015-2017","3","9","6","3","3","1","2-4","3-4","Not exclusively (also asessing influence of different fertilizing treatments: N1, application of farm yard manure (FYM) at 5 t ha–1; N2, application of inorganic fertilizer (RDF of rice, 60:30:30 kg ha–1 of N:P2O5:K2O); N3, application of both FYM at 5 t ha–1 and 50% inorganic fertilizer (RDF))","Not exclusively (also asessing influence of different fertilizing treatments: N1, application of farm yard manure (FYM) at 5 t ha–1; N2, application of inorganic fertilizer (RDF of rice, 60:30:30 kg ha–1 of N:P2O5:K2O); N3, application of both FYM at 5 t ha–1 and 50% inorganic fertilizer (RDF))","Intercropping cereals with fodder legume crops like cowpea
and ricebean is a practice in the semi-arid tropics of India to
reduce the fragility and uncertainty of agricultural production
systems under rainfed upland situations. These systems
produce a considerable amount of biomass that can be
incorporated into the soil, transferring nutrients from the
crops to soil and enriching the organic carbon content. --Maize and other forage legumes such as sesbania,
cowpea, pigeonpea, ricebean, and mungbean are important
short-duration crops which provide more economic return
to growers than long-duration crops","India","South Asia",2,"Research Farm of All India Coordinated Research Project for Dryland
Agriculture (AICRPDA), Phulbani  in North Eastern Ghat Zone of Odisha","Asia","LMIC","20.466667000000001","84.233333000000002","No","NA","Experiment (research station)","Researcher-led","Researcher-led","Intercropping rice-legume","Intercrop",1,0,0,"Row","also asessing influence of different fertilizing treatments: N1, application of farm yard manure (FYM) at 5 t ha–1; N2, application of inorganic fertilizer (RDF of rice, 60:30:30 kg ha–1 of N:P2O5:K2O); N3, application of both FYM at 5 t ha–1 and 50% inorganic fertilizer (RDF))","Fertilizer rates/type",NA,"Grain / Ricebean","Rice","Ricebean",0,0,0,0,0,0,0,0,0,0,"Ricebean","0","N1, application of farm yard manure (FYM) at 5 t ha–1; N2, application of inorganic fertilizer (RDF of rice, 60:30:30 kg ha–1 of N:P2O5:K2O); N3, application of both FYM at 5 t ha–1 and 50% inorganic fertilizer (RDF).","Synthetic - below threshold","rainfed","1.0594130279169649","NA","NA","NA","NA","NA",1.06918238993711,"NA","NA","0.91961414790996787","NA","NA","1.0348892470434086","NA","NA","NA",0.806043203028128,"0.93548387096774188","NA","NA","1.1299999999999999","NA","NA","NA","NA","NA","NA","NA","Mix-Mix","NA","NA","NA","NA","NA","NA","NA","The leguminous fodders as intercrops with cereal crops have
special significances because of high herbage protein for
animal feeding and partial independence from concentrate
for their nitrogen needs.","NA","The
leaf area of the rice crop in intercropping systems were found
to be significantly higher than that in monocropping system
because rice plants were getting more nitrogen from soil
due to nitrogen fixation of leguminous fodder crops. --- Rice yield
was higher in monocropping system than in rice and fodder
intercropping system when price was taken as a factor, but
when energy was taken as a factor rice yield of intercropping
system was higher than that of monocropping system.","Rice yield
was higher in monocropping system than in rice and fodder
intercropping system when price was taken as a factor, but
when energy was taken as a factor rice yield of intercropping
system was higher than that of monocropping system.","Rice yield
was higher in monocropping system than in rice and fodder
intercropping system when price was taken as a factor, but
when energy was taken as a factor rice yield of intercropping
system was higher than that of monocropping system.","Rice yield
was higher in monocropping system than in rice and fodder
intercropping system when price was taken as a factor, but
when energy was taken as a factor rice yield of intercropping
system was higher than that of monocropping system.",NA,"Table 8_Rainwater use efficiency (RWUE), land equivalent ratio (LER), energy use efficiency (EUE), and economics as influenced by different cropping systems and different nutrient management practices1)",NA,2,2,2,2,2,2,12
151,309,"Kumar M., Kumar R., Rangnamei K.L., Das A., Meena K.L., Rajkhowa D.J.",2019,"Crop diversification for enhancing the productivity for food and nutritional security under the Eastern Himalayas","Kumar, M., Kumar, R., Rangnamei, K. L., Das, A., Meena, K. L., & Rajkhowa, D. J. (2019). Crop diversification for enhancing the productivity for food and nutritional security under the Eastern Himalayas. Indian Journal of Agricultural Sciences, 89(7), 1157-1161.","Field","Quantitative","Experiment (on farm)","RC","2013-2015","2","5","1","4","20","5","2-4",">100","Yes","Yes","Poverty","India","South Asia",2,"Nagaland (5 villages)","Asia","LMIC","26.475000000000001","94.8","No",NA,"Experiment (on farm)","Farmer-led","Farmer-led","Rotation","Rotation",1,0,0,"Rotation","Existing farmers' practices","Existing farmers' practices",NA,"Grain / Pea","Rice","Pea",0,0,0,0,0,0,0,0,0,1,"0","Toria, tomato, cabbage","NA","Unknown","rainfed","5.8947368421052628","NA","NA","NA","NA","NA",1.336898396,"NA","NA","NA","NA","NA","NA","2.8333333333333335","NA","NA",11.4286219081272,"NA","NA","1.0358306188925082","1.7831050228310503","1.5279117849758788","NA","NA","NA","NA","NA","NA","Win-Mix","NA","NA","NA","NA","NA","NA","Yes: ""double cropping required more input, which is responsible for consumption of more energy""","NA","NA","Access to training/knowledge about new cropping practices (extension)","NA","Market prices (Increase in system net returns was mainly due to the higher market price of vegetables included in rice–based system compared with rice-fallow)","NA",NA,"Tables: 2: yield, land & H2O use; 3: profit, nutrition, climate; 4: Energy",NA,2,2,2,1,2,2,11
58,105,"Choudhary V.K., Kumar P.S.",2016,"Productivity, Water Use and Energy Profitability of Staggered Maize–Legume Intercropping in the Eastern Himalayan Region of India","Choudhary, V. K., & Kumar, P. S. (2016). Productivity, Water Use and Energy Profitability of Staggered Maize–Legume Intercropping in the Eastern Himalayan Region of India. Proceedings of the National Academy of Sciences India Section B - Biological Sciences, 86(3), 547-557. doi:10.1007/s40011-014-0476-7","Plot","Quantitative","Experiment (research station)","E/M","2010-2011","2","9","8","1","3","1","2-4","3-4","Yes","Yes",NA,"India","South Asia",2,"Research Farm of ICAR Research Complex for NEH Region, Basar, Arunachal Pradesh","Asia","LMIC","27.980252","94.691135000000003","No","""increasing the crop yield and farm productivity""","Experiment (research station)","Researcher-led","Researcher-led","Intercropping: Cereal-legume","Intercrop",1,1,0,"Row","Existing farmers' practices, including mulch","Existing farmers' practices",NA,"Grain / Soybean","Maize","Soybean",0,0,0,0,0,0,0,0,1,0,"0",NA,"NA","Unknown","rainfed","1.29221689","NA","NA","NA","NA","NA",0.9878,"NA","NA","2.8235294","NA","NA","NA","NA","NA","NA",1.4048,"NA","NA","NA","1.2742616","NA","NA","NA","NA","NA","NA","NA","Mix-Mix","NA","NA","NA","NA","NA","NA","Yes: (1) row proportions: higher water use with increasing rows but lower energy input and higher energy use efficiency; (2) water use vs monetary benefit: increase in monetary benefit with water use to threshold then decrease (quadratic function)","NA","NA","Rainfall (higher rain in one year led to increased yield); Intercropping design - higher intercrop row density = higher yield, energy efficiency + soil moisture: ""Energy parameters were significantly (p\0.05) influenced by solitary and intercrops of legumes with their respective row proportions.""","NA","Labour ""Suitable technologies that are accessible to resource-poor farmers must be affordable in terms of labour, land, energy and capital investments ""","Intercropping design - higher intercrop row density = higher water use",NA,"NA",NA,2,2,2,1,2,2,11
59,105,"Choudhary V.K., Kumar P.S.",2016,"Productivity, Water Use and Energy Profitability of Staggered Maize–Legume Intercropping in the Eastern Himalayan Region of India","Choudhary, V. K., & Kumar, P. S. (2016). Productivity, Water Use and Energy Profitability of Staggered Maize–Legume Intercropping in the Eastern Himalayan Region of India. Proceedings of the National Academy of Sciences India Section B - Biological Sciences, 86(3), 547-557. doi:10.1007/s40011-014-0476-7","Plot","Quantitative","Experiment (research station)","E/M","2010-2011","2","9","8","1","3","1","2-4","3-4","Yes","Yes",NA,"India","South Asia",2,"Research Farm of ICAR Research Complex for NEH Region, Basar, Arunachal Pradesh","Asia","LMIC","27.980252","94.691135000000003","No","""increasing the crop yield and farm productivity""","Experiment (research station)","Researcher-led","Researcher-led","Intercropping: Cereal-legume","Intercrop",1,1,0,"Row","Existing farmers' practices, including mulch","Existing farmers' practices",NA,"Grain / Groundnut","Maize","Groundnut",0,0,1,0,0,0,0,0,0,0,"0",NA,"NA","Unknown","rainfed","1.3805772300000001","NA","NA","NA","NA","NA",0.932,"NA","NA","3.2209150000000002","NA","NA","NA","NA","NA","NA",1.583,"NA","NA","NA","1.3769339","NA","NA","NA","NA","NA","NA","NA","Mix-Mix","NA","NA","NA","NA","NA","NA","Yes: (1) row proportions: higher water use with increasing rows but lower energy input and higher energy use efficiency; (2) water use vs monetary benefit: increase in monetary benefit with water use to threshold then decrease (quadratic function)","NA","NA","Market prices (higher for groundnut); Rainfall (higher rain in one year led to increased yield); Intercropping design - higher intercrop row density = higher yield, energy efficiency + soil moisture: ""Energy parameters were significantly (p\0.05) influenced by solitary and intercrops of legumes with their respective row proportions.""",NA,"Labour ""Suitable technologies that are accessible to resource-poor farmers must be affordable in terms of labour, land, energy and capital investments ""","Intercropping design - higher intercrop row density = higher water use",NA,"NA",NA,2,2,2,1,2,2,11
60,106,"Choudhary V.K., Kumar P.S.",2013,"Crop and water productivity, profitability and energy consumption pattern of a maize-based crop sequence in the North Eastern Himalayan Region, India","Choudhary, V. K., & Kumar, P. S. (2013). Crop and water productivity, profitability and energy consumption pattern of a maize-based crop sequence in the North Eastern Himalayan Region, India. Archives of Agronomy and Soil Science, 59(5), 653-669. doi:10.1080/03650340.2012.665992","Plot","Quantitative","Experiment (research station)","E/M","2008-2011","3","5","3","2","3","1","2-4","3-4","Yes","Yes","Extreme weather (drought), water scarcity","India","South Asia",2,"Research Farm of ICAR Research Complex for NEH Region, Basar, Arunachal Pradesh","Asia","LMIC","27.980252","94.691135000000003","No","""Crop intensification was measured by calculating land utilisation efficiency by dividing the total duration of respective cropping systems by the numbers of days in a year (365 days), expressed in percentage.""","Experiment (research station)","Researcher-led","Researcher-led","Rotation","Rotation",1,0,0,"Rotation","Existing farmers' practices, including mulch","Existing farmers' practices",NA,"Grain / Pea","Maize","Pea",0,0,0,0,0,0,0,0,0,1,"0",NA,"80-60-40 (Maize); 20-60-30 (pea)","Synthetic - below threshold","rainfed","1.6865671600000001","1.0533399999999999","NA","NA","NA","NA",1.408573104,"NA","NA","1.1868099999999999","NA","NA","NA","NA","NA","NA",1.873669269,"NA","NA","NA","1.7621621999999999","NA","NA","NA","NA","1.667","NA","NA","Win-Mix","NA","NA","NA","NA","NA","NA","Yes (energy input highe but balanced by higher energy use efficiency of maize-legumes compared with maize-fallow)","NA","NA","Soil moisture content: ""growth of sequential crops depended solely on the moisture availability in the soil post rainy season""; mulch ""Crop yield was 18–35% higher under straw mulch than in the no-mulch condition""; Non-renewable energy sources (machinery, fuel)","NA","Renewable energy sources","Access to renewable energy",NA,"NA",NA,2,2,2,2,2,2,12
61,106,"Choudhary V.K., Kumar P.S.",2013,"Crop and water productivity, profitability and energy consumption pattern of a maize-based crop sequence in the North Eastern Himalayan Region, India","Choudhary, V. K., & Kumar, P. S. (2013). Crop and water productivity, profitability and energy consumption pattern of a maize-based crop sequence in the North Eastern Himalayan Region, India. Archives of Agronomy and Soil Science, 59(5), 653-669. doi:10.1080/03650340.2012.665992","Plot","Quantitative","Experiment (research station)","E/M","2008-2011","3","5","3","2","3","1","2-4","3-4","Yes","Yes","Extreme weather (drought), water scarcity","India","South Asia",2,"Research Farm of ICAR Research Complex for NEH Region, Basar, Arunachal Pradesh","Asia","LMIC","27.980252","94.691135000000003","No","""Crop intensification was measured by calculating land utilisation efficiency by dividing the total duration of respective cropping systems by the numbers of days in a year (365 days), expressed in percentage.""","Experiment (research station)","Researcher-led","Researcher-led","Rotation","Rotation",1,0,0,"Rotation","Existing farmers' practices, including mulch","Existing farmers' practices",NA,"Grain / Common bean","Maize","Common bean",0,0,0,0,0,0,0,1,0,0,"0",NA,"80-60-40 (Maize); 50-60-30 (bean)","Synthetic - below threshold","rainfed","1.9179104499999999","1.03525","NA","NA","NA","NA",1.46,"NA","NA","1.24451","NA","NA","NA","NA","NA","NA",2.499645138,"NA","NA","NA","1.7513513999999999","NA","NA","NA","NA","1.9","NA","NA","Win-Mix","NA","NA","NA","NA","NA","NA","Yes (energy input highe but balanced by higher energy use efficiency of maize-legumes compared with maize-fallow)","NA","NA","Soil moisture content: ""growth of sequential crops depended solely on the moisture availability in the soil post rainy season""; mulch ""Crop yield was 18–35% higher under straw mulch than in the no-mulch condition""; Non-renewable energy sources (machinery, fuel)","NA","Renewable energy sources","Access to renewable energy",NA,"NA",NA,2,2,2,2,2,2,12
62,106,"Choudhary V.K., Kumar P.S.",2013,"Crop and water productivity, profitability and energy consumption pattern of a maize-based crop sequence in the North Eastern Himalayan Region, India","Choudhary, V. K., & Kumar, P. S. (2013). Crop and water productivity, profitability and energy consumption pattern of a maize-based crop sequence in the North Eastern Himalayan Region, India. Archives of Agronomy and Soil Science, 59(5), 653-669. doi:10.1080/03650340.2012.665992","Plot","Quantitative","Experiment (research station)","E/M","2008-2011","3","5","3","2","3","1","2-4","3-4","Yes","Yes","Extreme weather (drought), water scarcity","India","South Asia",2,"Research Farm of ICAR Research Complex for NEH Region, Basar, Arunachal Pradesh","Asia","LMIC","27.980252","94.691135000000003","No","""Crop intensification was measured by calculating land utilisation efficiency by dividing the total duration of respective cropping systems by the numbers of days in a year (365 days), expressed in percentage.""","Experiment (research station)","Researcher-led","Researcher-led","Rotation","Rotation",1,0,0,"Rotation","Existing farmers' practices, including mulch","Existing farmers' practices",NA,"Grain / Groundnut","Maize","Groundnut",0,0,1,0,0,0,0,0,0,0,"0",NA,"80-60-40 (Maize); 20-60-30 (groundnut)","Synthetic - below threshold","rainfed","1.7835820899999999","1.07335","NA","NA","NA","NA",1.28,"NA","NA","1.3351599999999999","NA","NA","NA","NA","NA","NA",1.921575586,"NA","NA","NA","1.8891891999999999","NA","NA","NA","NA","1.7330000000000001","NA","NA","Win-Mix","NA","NA","NA","NA","NA","NA","Yes (energy input highe but balanced by higher energy use efficiency of maize-legumes compared with maize-fallow)","NA","NA","Soil moisture content: ""growth of sequential crops depended solely on the moisture availability in the soil post rainy season""; mulch ""Crop yield was 18–35% higher under straw mulch than in the no-mulch condition""; Non-renewable energy sources (machinery, fuel)","NA","Renewable energy sources","Access to renewable energy",NA,"NA",NA,2,2,2,2,2,2,12
